size,seed,executions,strategy,assumptions,solutions,runtime_one,walltime_one,runtime_all,walltime_all
0,0,100,leftmost,0,1,0,3,-1,-1
0,0,100,ff,0,1,0,2,-1,-1
0,0,100,ffc,0,1,0,2,-1,-1
0,1,100,leftmost,0,1,16,2,-1,-1
0,1,100,ff,0,1,0,2,-1,-1
0,1,100,ffc,0,1,0,2,-1,-1
0,2,100,leftmost,0,1,0,2,-1,-1
0,2,100,ff,0,1,0,3,-1,-1
0,2,100,ffc,0,1,0,2,-1,-1
0,3,100,leftmost,0,1,0,2,-1,-1
0,3,100,ff,0,1,15,2,-1,-1
0,3,100,ffc,0,1,0,3,-1,-1
0,4,100,leftmost,0,1,0,2,-1,-1
0,4,100,ff,0,1,0,2,-1,-1
0,4,100,ffc,0,1,0,3,-1,-1
0,5,100,leftmost,0,1,0,2,-1,-1
0,5,100,ff,0,1,0,2,-1,-1
0,5,100,ffc,0,1,16,3,-1,-1
0,6,100,leftmost,0,1,0,2,-1,-1
0,6,100,ff,0,1,0,2,-1,-1
0,6,100,ffc,0,1,0,3,-1,-1
0,7,100,leftmost,0,1,0,2,-1,-1
0,7,100,ff,0,1,0,2,-1,-1
0,7,100,ffc,0,1,0,2,-1,-1
0,8,100,leftmost,0,1,0,2,-1,-1
0,8,100,ff,0,1,0,2,-1,-1
0,8,100,ffc,0,1,0,2,-1,-1
0,9,100,leftmost,0,1,0,3,-1,-1
0,9,100,ff,0,1,0,2,-1,-1
0,9,100,ffc,0,1,0,2,-1,-1
1,0,100,leftmost,0,1,15,6,-1,-1
1,0,100,ff,0,1,0,7,-1,-1
1,0,100,ffc,0,1,16,7,-1,-1
1,1,100,leftmost,0,1,0,7,-1,-1
1,1,100,ff,0,1,15,7,-1,-1
1,1,100,ffc,0,1,0,7,-1,-1
1,2,100,leftmost,0,1,16,7,-1,-1
1,2,100,ff,0,1,0,7,-1,-1
1,2,100,ffc,0,1,0,7,-1,-1
1,3,100,leftmost,0,1,16,7,-1,-1
1,3,100,ff,0,1,0,7,-1,-1
1,3,100,ffc,0,1,15,7,-1,-1
1,4,100,leftmost,0,1,0,7,-1,-1
1,4,100,ff,0,1,16,7,-1,-1
1,4,100,ffc,0,1,0,7,-1,-1
1,5,100,leftmost,0,1,15,7,-1,-1
1,5,100,ff,0,1,0,7,-1,-1
1,5,100,ffc,0,1,0,7,-1,-1
1,6,100,leftmost,0,1,16,7,-1,-1
1,6,100,ff,0,1,0,7,-1,-1
1,6,100,ffc,0,1,16,7,-1,-1
1,7,100,leftmost,0,1,0,7,-1,-1
1,7,100,ff,0,1,15,7,-1,-1
1,7,100,ffc,0,1,0,7,-1,-1
1,8,100,leftmost,0,1,16,7,-1,-1
1,8,100,ff,0,1,0,7,-1,-1
1,8,100,ffc,0,1,15,7,-1,-1
1,9,100,leftmost,0,1,0,7,-1,-1
1,9,100,ff,0,1,0,7,-1,-1
1,9,100,ffc,0,1,16,7,-1,-1
2,0,100,leftmost,1,1,16,12,-1,-1
2,0,100,ff,1,1,15,12,-1,-1
2,0,100,ffc,1,1,0,13,-1,-1
2,1,100,leftmost,1,1,16,12,-1,-1
2,1,100,ff,1,1,15,12,-1,-1
2,1,100,ffc,1,1,16,11,-1,-1
2,2,100,leftmost,1,1,0,12,-1,-1
2,2,100,ff,1,1,16,12,-1,-1
2,2,100,ffc,1,1,15,12,-1,-1
2,3,100,leftmost,1,1,16,12,-1,-1
2,3,100,ff,1,1,15,12,-1,-1
2,3,100,ffc,1,1,0,12,-1,-1
2,4,100,leftmost,1,1,16,12,-1,-1
2,4,100,ff,1,1,16,13,-1,-1
2,4,100,ffc,1,1,15,12,-1,-1
2,5,100,leftmost,1,1,0,12,-1,-1
2,5,100,ff,1,1,16,12,-1,-1
2,5,100,ffc,1,1,15,11,-1,-1
2,6,100,leftmost,1,1,16,12,-1,-1
2,6,100,ff,1,1,16,349,-1,-1
2,6,100,ffc,1,1,16,12,-1,-1
2,7,100,leftmost,1,1,15,12,-1,-1
2,7,100,ff,1,1,16,12,-1,-1
2,7,100,ffc,1,1,0,12,-1,-1
2,8,100,leftmost,1,1,16,12,-1,-1
2,8,100,ff,1,1,15,12,-1,-1
2,8,100,ffc,1,1,16,16,-1,-1
2,9,100,leftmost,1,1,15,12,-1,-1
2,9,100,ff,1,1,16,12,-1,-1
2,9,100,ffc,1,1,0,12,-1,-1
4,0,100,leftmost,1,1,31,25,-1,-1
4,0,100,ff,1,1,31,25,-1,-1
4,0,100,ffc,1,1,16,25,-1,-1
4,1,100,leftmost,4,1,31,25,-1,-1
4,1,100,ff,4,1,16,25,-1,-1
4,1,100,ffc,4,1,16,25,-1,-1
4,2,100,leftmost,3,1,31,25,-1,-1
4,2,100,ff,3,1,16,25,-1,-1
4,2,100,ffc,3,1,31,25,-1,-1
4,3,100,leftmost,4,1,31,287,-1,-1
4,3,100,ff,4,1,16,25,-1,-1
4,3,100,ffc,4,1,31,25,-1,-1
4,4,100,leftmost,4,1,16,25,-1,-1
4,4,100,ff,4,1,31,25,-1,-1
4,4,100,ffc,4,1,31,25,-1,-1
4,5,100,leftmost,2,1,16,25,-1,-1
4,5,100,ff,2,1,31,25,-1,-1
4,5,100,ffc,2,1,31,25,-1,-1
4,6,100,leftmost,1,1,16,25,-1,-1
4,6,100,ff,1,1,31,31,-1,-1
4,6,100,ffc,1,1,47,220,-1,-1
4,7,100,leftmost,4,1,32,25,-1,-1
4,7,100,ff,4,1,31,25,-1,-1
4,7,100,ffc,4,1,15,25,-1,-1
4,8,100,leftmost,2,1,32,25,-1,-1
4,8,100,ff,2,1,15,24,-1,-1
4,8,100,ffc,2,1,31,25,-1,-1
4,9,100,leftmost,2,1,32,25,-1,-1
4,9,100,ff,2,1,16,176,-1,-1
4,9,100,ffc,2,1,31,25,-1,-1
8,0,100,leftmost,4,1,62,67,-1,-1
8,0,100,ff,4,1,77,180,-1,-1
8,0,100,ffc,4,1,63,67,-1,-1
8,1,100,leftmost,8,1,78,155,-1,-1
8,1,100,ff,8,1,93,142,-1,-1
8,1,100,ffc,8,1,62,171,-1,-1
8,2,100,leftmost,4,1,79,142,-1,-1
8,2,100,ff,5,1,141,305,-1,-1
8,2,100,ffc,5,1,78,67,-1,-1
8,3,100,leftmost,7,1,62,73,-1,-1
8,3,100,ff,7,1,63,143,-1,-1
8,3,100,ffc,7,1,94,293,-1,-1
8,4,100,leftmost,9,1,62,68,-1,-1
8,4,100,ff,7,1,78,68,-1,-1
8,4,100,ffc,7,1,63,68,-1,-1
8,5,100,leftmost,7,1,92,243,-1,-1
8,5,100,ff,8,1,63,68,-1,-1
8,5,100,ffc,8,1,94,219,-1,-1
8,6,100,leftmost,5,1,62,68,-1,-1
8,6,100,ff,5,1,78,182,-1,-1
8,6,100,ffc,5,1,79,162,-1,-1
8,7,100,leftmost,8,1,78,68,-1,-1
8,7,100,ff,6,1,95,212,-1,-1
8,7,100,ffc,6,1,63,126,-1,-1
8,8,100,leftmost,13,1,189,544,-1,-1
8,8,100,ff,13,1,63,146,-1,-1
8,8,100,ffc,13,1,78,67,-1,-1
8,9,100,leftmost,4,1,62,70,-1,-1
8,9,100,ff,2,1,78,71,-1,-1
8,9,100,ffc,2,1,63,72,-1,-1
16,0,100,leftmost,20,1,265,598,-1,-1
16,0,100,ff,15,1,234,233,-1,-1
16,0,100,ffc,15,1,218,520,-1,-1
16,1,100,leftmost,14,1,235,479,-1,-1
16,1,100,ff,9,1,264,423,-1,-1
16,1,100,ffc,9,1,249,672,-1,-1
16,2,100,leftmost,23,1,313,631,-1,-1
16,2,100,ff,21,1,327,1005,-1,-1
16,2,100,ffc,21,1,250,255,-1,-1
16,3,100,leftmost,33,1,234,248,-1,-1
16,3,100,ff,33,1,266,821,-1,-1
16,3,100,ffc,33,1,234,234,-1,-1
16,4,100,leftmost,27,1,234,240,-1,-1
16,4,100,ff,24,1,281,745,-1,-1
16,4,100,ffc,24,1,234,236,-1,-1
16,5,100,leftmost,27,1,264,851,-1,-1
16,5,100,ff,21,1,234,238,-1,-1
16,5,100,ffc,21,1,219,557,-1,-1
16,6,100,leftmost,34,1,251,508,-1,-1
16,6,100,ff,36,1,266,667,-1,-1
16,6,100,ffc,36,1,297,569,-1,-1
16,7,100,leftmost,22,1,358,902,-1,-1
16,7,100,ff,16,1,485,1253,-1,-1
16,7,100,ffc,16,1,249,241,-1,-1
16,8,100,leftmost,13,1,250,244,-1,-1
16,8,100,ff,18,1,234,245,-1,-1
16,8,100,ffc,18,1,249,243,-1,-1
16,9,100,leftmost,16,1,297,1206,-1,-1
16,9,100,ff,12,1,234,245,-1,-1
16,9,100,ffc,12,1,234,241,-1,-1
32,0,10,leftmost,-1,0,-1,-1,-1,-1
32,0,10,ff,-1,0,-1,-1,-1,-1
32,0,10,ffc,-1,0,-1,-1,-1,-1
32,1,10,leftmost,56,1,109,97,-1,-1
32,1,10,ff,53,1,93,97,-1,-1
32,1,10,ffc,53,1,94,97,-1,-1
32,2,10,leftmost,35,1,94,97,-1,-1
32,2,10,ff,44,1,109,97,-1,-1
32,2,10,ffc,44,1,93,97,-1,-1
32,3,10,leftmost,54,1,93,97,-1,-1
32,3,10,ff,41,1,93,98,-1,-1
32,3,10,ffc,41,1,94,98,-1,-1
32,4,10,leftmost,55,1,94,97,-1,-1
32,4,10,ff,44,1,109,97,-1,-1
32,4,10,ffc,44,1,94,103,-1,-1
32,5,10,leftmost,72,1,94,98,-1,-1
32,5,10,ff,29,1,109,98,-1,-1
32,5,10,ffc,29,1,93,97,-1,-1
32,6,10,leftmost,55,1,94,97,-1,-1
32,6,10,ff,51,1,110,97,-1,-1
32,6,10,ffc,51,1,94,98,-1,-1
32,7,10,leftmost,40,1,94,97,-1,-1
32,7,10,ff,36,1,94,98,-1,-1
32,7,10,ffc,36,1,109,97,-1,-1
32,8,10,leftmost,66,1,93,97,-1,-1
32,8,10,ff,62,1,94,97,-1,-1
32,8,10,ffc,62,1,94,98,-1,-1
32,9,10,leftmost,50,1,94,97,-1,-1
32,9,10,ff,55,1,109,97,-1,-1
32,9,10,ffc,55,1,109,98,-1,-1
64,0,10,leftmost,240,1,484,490,-1,-1
64,0,10,ff,139,1,484,489,-1,-1
64,0,10,ffc,139,1,484,488,-1,-1
64,1,10,leftmost,-1,0,-1,-1,-1,-1
64,1,10,ff,-1,0,-1,-1,-1,-1
64,1,10,ffc,-1,0,-1,-1,-1,-1
64,2,10,leftmost,-1,0,-1,-1,-1,-1
64,2,10,ff,-1,0,-1,-1,-1,-1
64,2,10,ffc,-1,0,-1,-1,-1,-1
64,3,10,leftmost,164,1,484,485,-1,-1
64,3,10,ff,84,1,483,485,-1,-1
64,3,10,ffc,84,1,484,487,-1,-1
64,4,10,leftmost,-1,0,-1,-1,-1,-1
64,4,10,ff,-1,0,-1,-1,-1,-1
64,4,10,ffc,-1,0,-1,-1,-1,-1
64,5,10,leftmost,146,1,483,485,-1,-1
64,5,10,ff,71,1,593,2639,-1,-1
64,5,10,ffc,71,1,483,482,-1,-1
64,6,10,leftmost,192,1,484,492,-1,-1
64,6,10,ff,167,1,483,485,-1,-1
64,6,10,ffc,167,1,484,482,-1,-1
64,7,10,leftmost,115,1,483,486,-1,-1
64,7,10,ff,59,1,484,482,-1,-1
64,7,10,ffc,59,1,592,2245,-1,-1
64,8,10,leftmost,189,1,468,485,-1,-1
64,8,10,ff,116,1,499,484,-1,-1
64,8,10,ffc,116,1,468,482,-1,-1
64,9,10,leftmost,189,1,468,491,-1,-1
64,9,10,ff,108,1,561,1803,-1,-1
64,9,10,ffc,108,1,484,487,-1,-1
24,0,10,leftmost,35,1,47,54,-1,-1
24,0,10,ff,38,1,63,56,-1,-1
24,0,10,ffc,38,1,47,53,-1,-1
24,1,10,leftmost,42,1,47,52,-1,-1
24,1,10,ff,32,1,47,53,-1,-1
24,1,10,ffc,32,1,63,53,-1,-1
24,2,10,leftmost,38,1,47,52,-1,-1
24,2,10,ff,19,1,63,54,-1,-1
24,2,10,ffc,19,1,47,52,-1,-1
24,3,10,leftmost,42,1,62,52,-1,-1
24,3,10,ff,26,1,46,55,-1,-1
24,3,10,ffc,26,1,62,52,-1,-1
24,4,10,leftmost,38,1,46,53,-1,-1
24,4,10,ff,34,1,62,53,-1,-1
24,4,10,ffc,34,1,63,55,-1,-1
24,5,10,leftmost,50,1,46,53,-1,-1
24,5,10,ff,47,1,46,53,-1,-1
24,5,10,ffc,47,1,46,53,-1,-1
24,6,10,leftmost,-1,0,-1,-1,-1,-1
24,6,10,ff,-1,0,-1,-1,-1,-1
24,6,10,ffc,-1,0,-1,-1,-1,-1
24,7,10,leftmost,36,1,46,53,-1,-1
24,7,10,ff,41,1,62,55,-1,-1
24,7,10,ffc,41,1,46,63,-1,-1
24,8,10,leftmost,40,1,62,55,-1,-1
24,8,10,ff,44,1,62,53,-1,-1
24,8,10,ffc,44,1,62,55,-1,-1
24,9,10,leftmost,45,1,47,52,-1,-1
24,9,10,ff,34,1,62,53,-1,-1
24,9,10,ffc,34,1,46,53,-1,-1
40,0,10,leftmost,62,1,156,163,-1,-1
40,0,10,ff,80,1,156,161,-1,-1
40,0,10,ffc,80,1,156,161,-1,-1
40,1,10,leftmost,84,1,156,162,-1,-1
40,1,10,ff,96,1,171,164,-1,-1
40,1,10,ffc,96,1,156,163,-1,-1
40,2,10,leftmost,-1,0,-1,-1,-1,-1
40,2,10,ff,-1,0,-1,-1,-1,-1
40,2,10,ffc,-1,0,-1,-1,-1,-1
40,3,10,leftmost,54,1,171,161,-1,-1
40,3,10,ff,53,1,156,164,-1,-1
40,3,10,ffc,53,1,156,162,-1,-1
40,4,10,leftmost,-1,0,-1,-1,-1,-1
40,4,10,ff,-1,0,-1,-1,-1,-1
40,4,10,ffc,-1,0,-1,-1,-1,-1
40,5,10,leftmost,121,1,156,161,-1,-1
40,5,10,ff,49,1,264,2434,-1,-1
40,5,10,ffc,49,1,172,162,-1,-1
40,6,10,leftmost,53,1,156,169,-1,-1
40,6,10,ff,34,1,156,163,-1,-1
40,6,10,ffc,34,1,156,160,-1,-1
40,7,10,leftmost,90,1,156,161,-1,-1
40,7,10,ff,59,1,172,162,-1,-1
40,7,10,ffc,59,1,156,166,-1,-1
40,8,10,leftmost,140,1,156,161,-1,-1
40,8,10,ff,79,1,156,161,-1,-1
40,8,10,ffc,79,1,156,164,-1,-1
40,9,10,leftmost,90,1,172,161,-1,-1
40,9,10,ff,62,1,156,160,-1,-1
40,9,10,ffc,62,1,156,160,-1,-1
48,0,10,leftmost,85,1,249,245,-1,-1
48,0,10,ff,69,1,343,1981,-1,-1
48,0,10,ffc,69,1,234,244,-1,-1
48,1,10,leftmost,-1,0,-1,-1,-1,-1
48,1,10,ff,-1,0,-1,-1,-1,-1
48,1,10,ffc,-1,0,-1,-1,-1,-1
48,2,10,leftmost,113,1,234,244,-1,-1
48,2,10,ff,54,1,234,245,-1,-1
48,2,10,ffc,54,1,234,244,-1,-1
48,3,10,leftmost,114,1,234,245,-1,-1
48,3,10,ff,68,1,249,244,-1,-1
48,3,10,ffc,68,1,250,245,-1,-1
48,4,10,leftmost,-1,0,-1,-1,-1,-1
48,4,10,ff,-1,0,-1,-1,-1,-1
48,4,10,ffc,-1,0,-1,-1,-1,-1
48,5,10,leftmost,-1,0,-1,-1,-1,-1
48,5,10,ff,-1,0,-1,-1,-1,-1
48,5,10,ffc,-1,0,-1,-1,-1,-1
48,6,10,leftmost,149,1,250,247,-1,-1
48,6,10,ff,88,1,234,243,-1,-1
48,6,10,ffc,88,1,250,244,-1,-1
48,7,10,leftmost,67,1,234,243,-1,-1
48,7,10,ff,77,1,234,243,-1,-1
48,7,10,ffc,77,1,234,243,-1,-1
48,8,10,leftmost,-1,0,-1,-1,-1,-1
48,8,10,ff,-1,0,-1,-1,-1,-1
48,8,10,ffc,-1,0,-1,-1,-1,-1
48,9,10,leftmost,-1,0,-1,-1,-1,-1
48,9,10,ff,-1,0,-1,-1,-1,-1
48,9,10,ffc,-1,0,-1,-1,-1,-1
56,0,10,leftmost,-1,0,-1,-1,-1,-1
56,0,10,ff,-1,0,-1,-1,-1,-1
56,0,10,ffc,-1,0,-1,-1,-1,-1
56,1,10,leftmost,56,1,309,578,-1,-1
56,1,10,ff,68,1,344,550,-1,-1
56,1,10,ffc,68,1,327,525,-1,-1
56,2,10,leftmost,73,1,360,640,-1,-1
56,2,10,ff,73,1,345,584,-1,-1
56,2,10,ffc,73,1,362,671,-1,-1
56,3,10,leftmost,159,1,343,338,-1,-1
56,3,10,ff,76,1,359,543,-1,-1
56,3,10,ffc,76,1,373,687,-1,-1
56,4,10,leftmost,158,1,405,2208,-1,-1
56,4,10,ff,96,1,343,345,-1,-1
56,4,10,ffc,96,1,343,718,-1,-1
56,5,10,leftmost,150,1,328,340,-1,-1
56,5,10,ff,98,1,375,571,-1,-1
56,5,10,ffc,98,1,360,664,-1,-1
56,6,10,leftmost,99,1,375,661,-1,-1
56,6,10,ff,108,1,358,347,-1,-1
56,6,10,ffc,108,1,327,365,-1,-1
56,7,10,leftmost,145,1,405,979,-1,-1
56,7,10,ff,96,1,344,345,-1,-1
56,7,10,ffc,96,1,376,796,-1,-1
56,8,10,leftmost,-1,0,-1,-1,-1,-1
56,8,10,ff,-1,0,-1,-1,-1,-1
56,8,10,ffc,-1,0,-1,-1,-1,-1
56,9,10,leftmost,114,1,328,338,-1,-1
56,9,10,ff,80,1,373,708,-1,-1
56,9,10,ffc,80,1,375,877,-1,-1
